bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
13;88;38;218;43;54;58;51;211;11;31;31;28;117;14;29;16;34;40;117;18;53;18;6;7;3;19;12;4;3;13;14;13;6;5;6;4;3;8;10;24;6;4;2;0;2;2;5;1;0;4;3;2;3;3;5;1;1;1;2;2;4;2;0;1;14;3;3;4;1;0;2,2,0,2,damp_low_band,0.0,False,False
13;88;38;218;43;55;57;50;211;11;30;32;28;117;14;29;16;34;40;117;18;53;18;6;7;3;19;12;4;3;14;14;13;6;5;6;4;3;8;10;24;6;4;2;0;2;2;5;1;0;4;3;2;3;3;5;1;1;1;2;2;4;2;0;1;14;3;3;4;1;0;2,2,0,2,damp_low_band,0.0,False,False
13;88;43;89;40;64;61;61;211;11;31;17;27;80;40;14;31;12;44;83;16;32;23;24;7;3;27;17;5;5;15;8;15;11;5;2;5;7;8;5;25;3;8;7;2;5;0;2;1;0;4;3;1;3;3;5;1;1;1;2;2;4;2;0;1;14;3;4;3;0;0;2,2,0,2,damp_low_band,0.0,False,False
13;88;85;68;37;65;65;61;211;11;37;21;38;74;39;29;18;12;34;76;25;37;29;17;7;3;19;12;5;6;13;14;13;6;4;2;3;6;8;10;24;6;9;4;0;1;2;5;1;0;2;3;1;3;2;4;2;3;1;2;2;4;2;2;2;13;4;4;4;1;1;0,2,0,2,damp_low_band,0.0,False,False
14;85;106;246;45;61;59;40;209;13;44;26;47;122;35;31;14;15;22;123;27;40;32;12;8;3;30;12;3;3;12;5;12;14;2;5;3;6;4;5;27;3;9;3;4;4;2;0;1;0;1;3;2;3;2;4;3;3;1;2;2;4;2;2;1;12;4;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
14;85;110;246;45;61;59;40;209;13;44;25;48;122;36;30;15;14;21;123;27;39;32;13;8;3;30;11;3;3;11;4;11;15;2;5;3;6;4;5;28;3;9;4;4;4;2;0;1;0;2;3;2;3;2;4;3;3;1;2;2;4;2;2;1;12;4;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
14;85;122;68;31;52;73;66;209;13;42;31;49;75;30;34;12;20;23;73;27;45;29;7;8;3;23;6;4;6;8;13;7;6;4;2;2;5;5;11;27;8;8;2;3;0;5;4;1;0;2;2;1;2;2;3;3;2;1;2;2;4;1;2;0;13;4;4;3;1;2;2,2,0,2,damp_low_band,0.0,False,False
14;85;136;240;46;59;64;39;209;13;42;17;55;120;39;24;22;11;14;121;23;34;31;20;8;3;29;7;3;3;7;6;7;13;2;5;4;7;2;8;29;5;9;6;5;2;4;1;1;0;3;4;2;3;3;4;2;3;1;2;2;3;3;1;2;13;3;4;3;1;1;0,2,0,2,damp_low_band,0.0,False,False
14;85;136;72;32;52;75;64;209;13;39;34;53;76;25;34;11;24;19;74;26;48;26;5;8;3;25;5;3;6;6;11;6;8;4;2;3;4;3;10;28;7;7;1;4;0;5;3;1;0;3;1;1;2;3;3;3;1;1;2;2;4;1;1;0;13;4;4;3;1;2;2,2,0,2,damp_low_band,0.0,False,False
14;85;14;144;33;64;52;62;209;13;19;19;21;96;22;10;35;28;51;98;6;41;11;21;8;3;29;7;6;5;7;7;7;13;5;5;7;4;2;8;29;5;3;6;5;2;4;1;1;0;2;2;1;3;2;4;3;2;1;2;2;4;2;2;1;13;3;4;3;1;3;1,2,0,2,damp_low_band,0.0,False,False
14;85;14;167;35;65;51;58;209;13;18;25;22;102;17;13;31;33;50;104;7;47;9;16;8;3;26;5;5;4;6;11;6;9;5;5;6;3;3;10;28;7;2;5;4;1;5;2;1;0;2;3;1;3;2;4;3;3;1;2;2;4;2;2;1;12;3;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
